120 6083
88 99 7
106 60 41
116 97 3
110 63 40
103 85 9
87 32 71
96 87 14
105 33 72
111 67 29
99 18 72
96 25 69
94 95 10
109 54 40
101 58 33
97 67 32
74 46 44
85 24 78
108 32 73
86 47 58
113 86 20
112 23 86
115 66 35
102 27 63
118 2 100
84 90 12
102 17 73
86 33 64
108 9 91
93 43 59
84 48 55
122 39 69
115 93 17
105 42 55
104 26 73
87 99 2
83 50 43
97 25 68
125 24 86
115 13 86
101 60 38
106 7 85
120 57 48
125 36 71
85 45 49
98 20 86
101 65 27
105 8 98
109 16 89
100 14 88
121 76 30
99 87 14
89 15 86
106 92 7
100 98 4
99 66 38
94 32 78
83 87 5
109 63 46
95 86 7
123 51 54
120 25 77
113 58 45
108 63 31
90 62 38
98 22 85
87 58 40
97 58 43
81 86 9
95 49 54
85 52 45
113 42 65
75 70 21
111 15 79
95 54 54
85 60 45
99 97 6
100 8 88
85 53 49
78 60 33
111 5 96
126 68 40
104 6 93
117 96 3
90 94 14
94 47 55
108 99 2
116 55 54
115 40 57
72 52 38
109 16 86
110 13 93
107 30 60
95 19 91
112 17 84
102 63 39
105 19 86
119 92 11
107 58 35
107 55 53
101 90 18
115 90 15
72 62 28
107 23 82
91 9 91
110 12 87
114 1 96
104 58 43
88 1 100
98 34 59
111 96 8
109 48 46
94 89 17
89 1 89
109 16 86
113 61 44
116 64 38
92 63 32
92 69 39
108 22 82
84 93 2
